sound1,true_answer
BeatPerception_v10/1_tempo.wav,0
BeatPerception_v10/2_on.wav,1
BeatPerception_v10/2_phase.wav,0
BeatPerception_v10/2_tempo.wav,0
BeatPerception_v10/3_on.wav,1
BeatPerception_v10/3_phase.wav,0
BeatPerception_v10/3_tempo.wav,0
BeatPerception_v10/4_tempo.wav,0
BeatPerception_v10/5_tempo.wav,0
BeatPerception_v10/6_on.wav,1
BeatPerception_v10/6_phase.wav,0
BeatPerception_v10/6_tempo.wav,0
BeatPerception_v10/7_on.wav,1
BeatPerception_v10/7_tempo.wav,0
BeatPerception_v10/8_phase.wav,0
BeatPerception_v10/8_tempo.wav,0
BeatPerception_v10/9_phase.wav,0
